DATA	ENTRADA	SAIDA_ALMOCO	VOLTA_ALMOCO	SAIDA	TOTAL_DIA
05/01/2015	08:22:14	12:01:29	13:34:05	18:03:24	8:08:33
06/01/2015	08:22:10	12:27:29	14:02:40	18:18:39	8:21:18
07/01/2015	08:23:01	12:10:17	14:16:35	18:59:39	8:30:19
08/01/2015	08:23:01	12:10:17	14:16:35	18:59:39	8:30:19
09/01/2015	08:36:21	12:16:02	13:42:56	17:37:29	7:34:14
12/01/15	08:28:13	12:22:53	13:44:34	18:12:40	8:22:46
13/01/2015	08:28:13	12:22:53	13:44:34	18:12:40	8:22:46
14/01/2015	08:22:54	12:15:08	13:39:08	18:15:02	8:28:08
22/01/2015	21:34:23	21:34:38	21:34:46	21:34:52	0:00:21
28/01/2015	08:28:31	12:41:07	13:43:26	18:06:53	8:36:03
30/01/2015	0	0	0	08:40:43	22:31:53
30/01/2015,08:41:01,12:18:47,13:28:32,18:01:37,8:10:51
01/02/2015,0,0,0,18:58:25,0:00:51
01/02/2015,0,0,0,19:03:53,0:06:19
01/02/2015,19:10:51,19:10:51,19:10:51,19:11:25,0:00:34
01/02/2015,19:16:25,19:17:01,19:17:26,19:17:42,0:00:52
02/02/2015,08:23:40,12:22:38,13:52:02,17:59:39,8:06:34
03/02/2015,08:27:15,12:13:08,13:41:54,18:00:53,8:04:51
04/02/2015,08:50:39,12:26:24,14:09:16,18:01:34,7:28:03
05/02/2015,08:23:40,12:17:49,13:51:39,18:03:43,8:06:12
